team_size,rank_tier,min_rank,max_rank,is_win,day_of_week,date,server_region,player_goals,player_saves,player_shots,player_assists,player_score,player_boost_avg,player_boost_bpm,player_boost_bcpm,player_boost_percent_0_25,player_boost_percent_75_100,player_movement_avg_speed,player_movement_total_distance,player_movement_time_supersonic,player_movement_time_slow,player_positioning_avg_distance_to_ball,player_positioning_time_defensive,player_positioning_time_offensive,player_demos_inflicted,player_demos_taken,camera_fov,camera_height,camera_pitch,camera_distance,camera_stiffness,camera_swivel_speed,camera_transition_speed,games_already_played
3,17.0,14.0,17.0,1,Friday,2021-02-19 23:11:32-06:00,USE,2,0,3,1,414,46.68,423,418.96036,39.23083,24.483856,1510,361239,54.58,139.79,3498,202.88,68.42,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,17.0,17.0,17.0,1,Friday,2021-02-26 09:30:07-06:00,USE,1,3,2,0,536,57.36,407,410.77225,23.005058,28.436123,1498,687581,75.83,226.95,2898,283.48,184.72,2,0,110,110,-3,280,0.45,10.0,1.7,0
3,17.0,17.0,18.0,1,Friday,2021-02-26 14:38:47-06:00,USE,2,0,3,0,274,48.98,396,393.46567,30.770933,17.0347,1495,249156,26.19,94.43,2896,95.48,87.05,0,0,110,110,-3,280,0.45,10.0,1.7,1
3,16.0,15.0,16.0,0,Thursday,2021-03-11 16:25:04-06:00,USE,2,3,3,0,562,48.07,368,408.60388,37.70113,24.799204,1392,504070,33.75,227.87,2702,264.01,120.92,0,2,110,110,-3,280,0.45,10.0,1.7,0
3,16.0,15.0,16.0,0,Saturday,2021-03-13 22:00:39-06:00,NaN,0,2,2,0,226,51.27,381,384.40375,38.02716,28.281319,1515,470126,55.16,156.54,3032,216.19,105.62,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,17.0,17.0,0,Sunday,2021-03-28 04:19:05-06:00,NaN,0,3,1,1,457,49.44,409,405.11145,31.339201,23.97081,1497,491295,39.09,168.99,3020,254.61,96.14,2,1,110,110,-3,280,0.45,10.0,1.7,0
3,17.0,NaN,17.0,0,Thursday,2021-05-20 20:29:19-06:00,NaN,0,1,0,0,112,50.45,410,439.42545,34.71431,28.57847,1458,457984,45.23,160.59,3077,224.15,102.11,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,8.0,19.0,1,Wednesday,2021-08-18 20:56:46-06:00,NaN,1,0,3,1,248,55.21,441,467.1005,25.108488,33.170918,1498,182477,16.96,70.8,3194,64.84,68.42,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,1,Monday,2021-09-13 13:40:56-06:00,USW,2,1,2,0,364,50.53,431,450.97433,34.033203,25.008137,1496,513203,48.15,189.8,2683,237.22,139.04,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,1,Saturday,2021-09-25 09:00:21-06:00,NaN,0,3,0,1,388,48.4,375,401.6607,43.561295,22.483143,1472,423593,51.53,158.74,2807,181.39,121.75,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,1,Tuesday,2021-11-30 08:02:57-06:00,USE,1,1,1,1,316,55.98,384,400.7388,27.232452,33.95587,1416,460215,42.98,200.98,3013,264.01,89.05,2,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,1,Thursday,2021-12-02 15:09:56-06:00,USE,2,4,5,0,693,47.57,399,434.27188,41.25636,20.979872,1472,582490,56.46,218.98,2712,248.98,170.56,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,16.0,18.0,0,Thursday,2021-12-02 15:51:31-06:00,NaN,0,0,0,0,20,48.89,453,438.99048,44.989677,15.64237,1497,180553,14.5,70.6,3134,115.88,23.56,0,2,110,110,-3,280,0.45,10.0,1.7,1
2,17.0,17.0,19.0,1,Friday,2021-12-03 17:47:59-06:00,NaN,2,2,5,1,528,53.43,518,548.7414,28.72661,25.943024,1497,525709,55.29,173.94,2545,224.39,152.08,1,2,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,1,Sunday,2021-12-12 19:36:08-06:00,USE,2,0,4,2,456,50.09,326,354.1519,29.934776,25.870525,1470,508225,37.21,205.58,3436,222.64,153.21,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,1,Monday,2021-12-20 04:28:23-06:00,USE,0,2,0,1,214,48.49,398,390.0929,35.62219,20.893553,1553,503701,59.96,160.25,2957,182.3,157.09,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,17.0,18.0,1,Saturday,2021-12-25 02:54:53-06:00,USE,2,0,2,0,336,48.52,355,367.43658,36.520107,24.68266,1476,469353,48.28,174.75,3075,222.22,116.88,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Monday,2021-12-27 09:06:19-06:00,NaN,1,2,4,1,356,50.89,437,469.88867,35.254826,21.68837,1553,516311,76.54,184.21,3579,231.7,134.0,1,5,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,1,Monday,2021-12-27 11:25:10-06:00,NaN,3,0,5,0,523,45.97,377,371.16583,26.56748,18.175028,1568,507947,64.35,163.81,3088,236.32,114.4,1,0,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,19.0,19.0,1,Monday,2021-12-27 11:34:18-06:00,NaN,0,1,4,3,319,48.97,386,404.2375,31.745094,20.079906,1505,581135,70.65,222.99,3182,256.04,160.97,0,0,110,110,-3,280,0.45,10.0,1.7,2
3,NaN,19.0,19.0,1,Monday,2021-12-27 11:43:55-06:00,NaN,2,0,5,0,372,56.42,430,451.53497,26.787952,32.54458,1502,601514,72.23,212.66,3264,240.31,182.68,2,0,110,110,-3,280,0.45,10.0,1.7,3
3,19.0,17.0,19.0,0,Thursday,2022-01-27 19:14:28-06:00,NaN,2,2,2,0,493,48.76,444,467.94226,35.90524,25.266552,1496,553765,61.34,197.44,2772,253.83,139.07,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Friday,2022-01-28 12:15:55-06:00,NaN,1,2,2,0,366,48.23,401,429.1735,34.032406,27.45346,1519,514244,69.01,177.97,2839,224.06,133.3,2,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Saturday,2022-01-29 18:49:56-06:00,NaN,1,2,2,2,414,48.8,353,357.9736,37.123573,27.850246,1474,464121,57.68,174.82,2823,200.4,135.89,0,3,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,19.0,19.0,1,Thursday,2022-02-03 19:38:13-06:00,USE,0,0,2,0,96,56.52,455,470.56668,22.19654,35.454437,1498,478236,62.56,169.37,2787,211.25,124.94,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,16.0,19.0,1,Friday,2022-02-04 22:13:57-06:00,USE,1,2,2,1,470,47.02,374,389.81262,38.10337,24.386755,1403,613600,57.31,269.12,3362,291.81,183.16,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,0,Wednesday,2022-02-09 09:31:18-06:00,USE,0,2,1,0,155,61.67,236,319.8477,20.137135,43.770966,1405,448829,27.55,212.68,3370,252.58,94.73,0,2,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Sunday,2022-02-13 12:01:34-06:00,NaN,0,1,1,0,120,60.8,392,379.08624,21.506697,38.204643,1326,404727,43.88,187.66,2832,204.27,104.99,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,19.0,19.0,0,Sunday,2022-02-13 12:09:07-06:00,USE,0,2,1,0,272,51.29,405,435.64966,37.730827,20.894499,1425,491470,59.63,197.2,3463,248.77,119.51,0,2,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,19.0,19.0,1,Wednesday,2022-02-16 14:19:32-06:00,NaN,0,2,2,1,343,48.45,364,363.64413,41.20412,25.462543,1347,619151,57.74,288.83,2754,330.69,151.81,2,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,0,Thursday,2022-04-21 01:54:23-06:00,NaN,0,0,1,0,38,55.87,283,326.7868,27.849596,29.929785,1315,188295,6.9,95.14,2506,120.5,36.39,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,19.0,1,Saturday,2022-04-23 10:14:12-06:00,NaN,2,0,3,0,376,54.67,377,410.893,33.122066,34.498398,1502,525925,53.32,196.98,2990,268.64,122.27,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Sunday,2022-04-24 09:21:44-06:00,NaN,1,3,2,1,581,49.2,337,324.4498,36.450832,21.909494,1381,435345,29.98,204.55,3036,245.06,86.61,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,0,Tuesday,2022-05-10 19:59:38-06:00,USE,0,0,1,0,58,49.76,366,363.6445,32.143326,24.784266,1418,300440,24.08,128.2,3168,147.08,90.6,0,1,110,110,-3,280,0.45,10.0,1.7,0
